Major,Subject,Type,Teacher
AiR,Algorytmy optymalizacji,lab,dr inż. Jerzy Marszałek
AiR,Analiza matematyczna II,wyk,dr Bartosz Micherda
AiR,Analiza matematyczna II,ćw,dr Bartosz Micherda
AiR,Dynamika robotów,ćw,prof. UBB dr hab. inż. Andrzej Urbaś
AiR,Elektronika,lab,mgr inż. Damian Pytka
AiR,Elektronika,ćw,mgr inż. Damian Pytka
AiR,Identyfikacja procesów automatyki,wyk,dr inż. Arkadiusz Trąbka
AiR,Identyfikacja procesów automatyki,ćw,dr inż. Arkadiusz Trąbka
AiR,Języki programowania robotów,lab,dr inż. Arkadiusz Trąbka
AiR,Komputerowe projektowanie zrobotyzowanych stanowisk pracy,wyk,mgr inż. Paweł Błaszczak
AiR,Komputerowe projektowanie zrobotyzowanych stanowisk pracy I,proj,mgr inż. Paweł Błaszczak
AiR,Komputerowe wspomaganie syntezy układów automatyki,lab,mgr inż. Marcin Pawlik
AiR,Materiałoznawstwo,lab,dr inż. Wojciech Skotnicki
AiR,Materiałoznawstwo,wyk,dr inż. Wojciech Skotnicki
AiR,Mechanika płynów,lab,mgr inż. Mateusz Śliwka
AiR,Mechatronika,lab,mgr inż. Adam Jabłoński
AiR,Monitoring w przemyśle,lab,mgr inż. Ewa Bebek
AiR,Monitoring w przemyśle,wyk,mgr inż. Ewa Bebek
AiR,Napędy i programowanie robotów,wyk,dr inż. Arkadiusz Trąbka
AiR,Obrabiarki sterowane numerycznie,lab,mgr inż. Kamil Wyrobek
AiR,Obrabiarki sterowane numerycznie,wyk,mgr inż. Kamil Wyrobek
AiR,Podstawy CAD,proj,prof. UBB dr hab. inż. Ireneusz Wróbel
AiR,Podstawy architektury komputerów,lab,dr inż. Krzysztof Sikora
AiR,Podstawy konstrukcji maszyn,proj,dr inż. Krzysztof Augustynek
AiR,Podstawy mechaniki II,wyk,prof. UBB dr hab. inż. Andrzej Harlecki
AiR,Podstawy mechaniki II,ćw,dr inż. Krzysztof Kubas
