Major,Subject,Type,Teacher,Mode
AiR,Algorytmy optymalizacji,lab,dr inż. Jerzy Marszałek,Niestacjonarne Wieczorowe
AiR,Analiza matematyczna II,wyk,dr Bartosz Micherda,Niestacjonarne Wieczorowe
AiR,Analiza matematyczna II,wyk,dr Bartosz Micherda,Stacjonarne
AiR,Analiza matematyczna II,ćw,dr Bartosz Micherda,Niestacjonarne Wieczorowe
AiR,Analiza matematyczna II,ćw,dr Bartosz Micherda,Stacjonarne
AiR,Dynamika robotów,ćw,prof. UBB dr hab. inż. Andrzej Urbaś,Niestacjonarne Wieczorowe
AiR,Elektronika,lab,mgr inż. Damian Pytka,Stacjonarne
AiR,Elektronika,ćw,mgr inż. Damian Pytka,Stacjonarne
AiR,Identyfikacja procesów automatyki,wyk,dr inż. Arkadiusz Trąbka,Niestacjonarne Wieczorowe
AiR,Identyfikacja procesów automatyki,ćw,dr inż. Arkadiusz Trąbka,Niestacjonarne Wieczorowe
AiR,Języki programowania robotów,lab,dr inż. Arkadiusz Trąbka,Stacjonarne
AiR,Komputerowe projektowanie zrobotyzowanych stanowisk pracy,wyk,mgr inż. Paweł Błaszczak,Niestacjonarne Wieczorowe
AiR,Komputerowe projektowanie zrobotyzowanych stanowisk pracy I,proj,mgr inż. Paweł Błaszczak,Stacjonarne
AiR,Komputerowe wspomaganie syntezy układów automatyki,lab,mgr inż. Marcin Pawlik,Niestacjonarne Wieczorowe
AiR,Materiałoznawstwo,lab,dr inż. Wojciech Skotnicki,Niestacjonarne Wieczorowe
AiR,Materiałoznawstwo,wyk,dr inż. Wojciech Skotnicki,Niestacjonarne Wieczorowe
AiR,Mechanika płynów,lab,mgr inż. Mateusz Śliwka,Niestacjonarne Wieczorowe
AiR,Mechatronika,lab,mgr inż. Adam Jabłoński,Niestacjonarne Wieczorowe
AiR,Monitoring w przemyśle,lab,mgr inż. Ewa Bebek,Stacjonarne
AiR,Monitoring w przemyśle,wyk,mgr inż. Ewa Bebek,Stacjonarne
AiR,Napędy i programowanie robotów,wyk,dr inż. Arkadiusz Trąbka,Stacjonarne
AiR,Obrabiarki sterowane numerycznie,lab,mgr inż. Kamil Wyrobek,Niestacjonarne Wieczorowe
AiR,Obrabiarki sterowane numerycznie,lab,mgr inż. Kamil Wyrobek,Stacjonarne
AiR,Obrabiarki sterowane numerycznie,wyk,mgr inż. Kamil Wyrobek,Niestacjonarne Wieczorowe
AiR,Podstawy CAD,proj,prof. UBB dr hab. inż. Ireneusz Wróbel,Niestacjonarne Wieczorowe
AiR,Podstawy architektury komputerów,lab,dr inż. Krzysztof Sikora,Stacjonarne
AiR,Podstawy konstrukcji maszyn,proj,dr inż. Krzysztof Augustynek,Niestacjonarne Wieczorowe
AiR,Podstawy mechaniki II,wyk,prof. UBB dr hab. inż. Andrzej Harlecki,Stacjonarne
AiR,Podstawy mechaniki II,ćw,dr inż. Krzysztof Kubas,Niestacjonarne Wieczorowe
AiR,Podstawy mechaniki II,ćw,dr inż. Krzysztof Kubas,Stacjonarne
AiR,Podstawy napędu elektrycznego,lab,dr inż. Daniel Jancarczyk,Stacjonarne
AiR,Podstawy napędu elektrycznego,wyk,dr inż. Aleksander Patyk,Stacjonarne
AiR,Podstawy napędu elektrycznego,ćw,dr inż. Aleksander Patyk,Stacjonarne
AiR,Podstawy programowania,lab,dr inż. Krzysztof Kubas,Niestacjonarne Wieczorowe
AiR,Podstawy programowania,lab,dr inż. Krzysztof Kubas,Stacjonarne
AiR,Podstawy programowania,wyk,dr inż. Krzysztof Kubas,Niestacjonarne Wieczorowe
AiR,Podstawy robotyki II,wyk,dr inż. Jerzy Kopeć,Niestacjonarne Wieczorowe
AiR,Podstawy robotyki II,wyk,dr inż. Jerzy Kopeć,Stacjonarne
AiR,Podstawy robotyki II,ćw,mgr inż. Adam Jabłoński,Niestacjonarne Wieczorowe
AiR,Podstawy robotyki II,ćw,mgr inż. Adam Jabłoński,Stacjonarne
AiR,Podstawy sterowania optymalnego,lab,dr inż. Jerzy Marszałek,Stacjonarne
AiR,Podstawy sterowania optymalnego,wyk,dr inż. Jerzy Marszałek,Stacjonarne
AiR,Podstawy systemów operacyjnych,lab,dr inż. Wojciech Skotnicki,Niestacjonarne Wieczorowe
AiR,Podstawy systemów operacyjnych,lab,dr inż. Wojciech Skotnicki,Stacjonarne
AiR,Podstawy systemów operacyjnych,wyk,dr inż. Wojciech Skotnicki,Niestacjonarne Wieczorowe
AiR,Podstawy systemów operacyjnych,wyk,dr inż. Wojciech Skotnicki,Stacjonarne
AiR,Podstawy teorii sygnałów i systemów,lab,dr inż. Jarosław Janusz,Stacjonarne
AiR,Podstawy teorii sygnałów i systemów,lab,mgr inż. Marcin Pawlik,Niestacjonarne Wieczorowe
AiR,Podstawy teorii sygnałów i systemów,wyk,dr inż. Jarosław Janusz,Niestacjonarne Wieczorowe
AiR,Podstawy teorii sygnałów i systemów,wyk,dr inż. Jarosław Janusz,Stacjonarne
AiR,Podstawy teorii sygnałów i systemów,ćw,dr inż. Jarosław Janusz,Niestacjonarne Wieczorowe
